"Title","Description","Priority","Labels","Status","Beads ID"
"Image Upload","Add R2 image storage for wishlist item photos. Users can upload images for items, stored in Cloudflare R2 and served via public URL.","Medium","Feature","Done","giftlist-ttm"
"Test email deliverability after domain verification","Send test emails to verify they don't land in spam. Check DKIM/SPF headers in received emails.","Medium","Improvement","Done","giftlist-u8o"
"Users can see other users' groups they're not members of","When user A shares an item with user B through a group, user B can see user A's other groups in their groups list - groups they are not actually a member of.  **Expected behavior:** User should only see groups they are a member of (created or invited to).  **Actual behavior:** User sees groups from other users who shared items with them.  **Likely cause:** Groups query is joining through items/shares instead of filtering by membership only.  **Files to investigate:** - src/hooks/useGroups.ts - s","High","Bug","Done","giftlist-uxi"
"Configure Resend API key and domain","Setup steps for email functionality: 1. Create Resend account and get API key 2. Run: wrangler secret put RESEND_API_KEY --local (for dev) 3. Run: wrangler secret put RESEND_API_KEY (for prod) 4. Verify domain in Resend dashboard 5. Update DEFAULT_FROM in src/lib/email.ts:46 with verified domain","High","Improvement","Done","giftlist-vbl"
"Database Migration","Generate and apply migrations to D1.  ## Steps - Run npx drizzle-kit generate to create SQL migration files - Apply to local D1: npx wrangler d1 migrations apply giftlist-db --local - Verify tables created with wrangler d1 execute  ## Files - drizzle/ directory (generated migrations)  ## Dependencies - Requires: Database Foundation task","High","Improvement","Done","giftlist-vfk"
"Integrate Upload with Item Form","Add ImageUpload to ItemFormDialog.  ## Steps - Add ImageUpload component to dialog - On successful upload, set imageUrl field - Show current image when editing existing item - Allow removing/replacing image  ## Files - src/components/ItemFormDialog.tsx (modify)  ## Dependencies - Requires: ImageUpload Component","Medium","Improvement","Done","giftlist-w63"
"ImageUpload Component","React component for image upload with drag-and-drop.  ## Steps - Create ImageUpload.tsx with drag-and-drop + click to select - Show preview before upload - Loading state during upload - Error handling (file too large, wrong type) - shadcn styling  ## Files - src/components/ImageUpload.tsx (create)  ## Dependencies - Requires: Image Upload API","Medium","Improvement","Done","giftlist-wx3"
"Item Card Component","Display individual wishlist items.  ## Steps - Add shadcn Card component: npx shadcn@latest add card - Show: name, price (formatted), external link, notes preview - Image placeholder (gray box, no upload yet) - Edit and Delete action buttons (icons) - Hover states and responsive design  ## Files - src/components/ui/card.tsx (add via shadcn) - src/components/ItemCard.tsx (create)  ## Dependencies - Requires: Wishlist Page","Medium","Improvement","Done","giftlist-y6h"
"Typography & Spacing Design System","Implemented custom design system with Inter Variable font, spacing tokens, and radius scale.  ## Font Setup - Package: @fontsource-variable/inter (self-hosted, no external CDN) - Import: src/styles/global.css - Font features enabled: cv11 (single-story 'a'), ss01 (alternate digits) - Font smoothing: antialiased for crisp rendering  ## Typography Tokens (Tailwind v4 @theme inline) | Token | Value | Use | |-------|-------|-----| | --tracking-tighter | -0.03em | Large display headings | | --trackin","Medium","Improvement","Done","giftlist-ya1"
"Fix missing @/paraglide/runtime module import","Build error: Cannot find module '@/paraglide/runtime' imported from '/Users/alex/Documents/giftlist/src/i18n/LocaleContext.tsx'. The paraglide runtime needs to be generated or the import path corrected.","Urgent","Bug","Done","giftlist-zl0"
